Intel® Product Specification Comparison
08/27/2026 11:49:00 AM
 ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel Atom® Processor P5362 ,Intel Atom® Processor P5352 ,Intel Atom® Processor P5342 ,Intel Atom® Processor P5332 ,Intel Atom® Processor P5322 ,Intel Atom® Processor C5325 ,Intel Atom® Processor C5320 ,Intel Atom® Processor C5315 ,Intel Atom® Processor C5310 ,Intel Atom® Processor C5125 ,Intel Atom® Processor C5115 ,Intel Atom® Processor C3336 ,Intel Atom® Processor P5931B ,Intel Atom® Processor P5962B ,Intel Atom® Processor P5921B ,Intel Atom® Processor P5942B ,Intel Atom® Processor C3338R ,Intel Atom® Processor C3758R ,Intel Atom® Processor C3558R ,Intel Atom® Processor C3436L ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® Processor P5742 ,Intel Atom® Processor P5721 ,Intel Atom® Processor P5752 ,Intel Atom® Processor P5731 ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E Processor ,Intel Atom® x7211E Processor ,Intel Atom® x7425E Processor ,Intel Atom® x7809C Processor ,Intel Atom® x7405C Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel Atom® Processor C5335C1 ,Intel Atom® P6952-3 Processor ,Intel Atom® P6942-3 Processor ,Intel Atom® P6962-3 Processor ,Intel Atom® P6962-5 Processor ,Intel Atom® x7835FE Processor ,Intel Atom® x7433FE Processor ,Intel Atom® P6942-5 Processor ,Intel Atom® P6922-3 Processor ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950
Use Conditions,,,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Commercial Temp,Communications Extended Temp,Communications Commercial Temp,Communications Extended Temp,Communications Commercial Temp,Communications Commercial Temp,,Base Transceiver Station,Base Transceiver Station,Base Transceiver Station,Base Transceiver Station,,,,,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Embedded Broad Market Extended Temp,Embedded Broad Market Extended Temp,Embedded Broad Market Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Communications Commercial Temp |  Embedded Broad Market Commercial Temp,Communications Commercial Temp |  Embedded Broad Market Commercial Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Commercial Temp |  Embedded Broad Market Commercial Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Commercial Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp |  Embedded Broad Market Extended Temp |  Industrial Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications,,Communications,Communications,,Communications,,Communications,Communications,,Communications,,Communications,Communications,Communications,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Commercial Temp |  Industrial Extended Temp,,,,,,Communications,,,,Communications,Communications,,,,Communications,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
Extended Temperature Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,View now,View now,View now,,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),16 GB,32 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,256 GB,256 GB,256 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,256 GB,256 GB,256 GB,256 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,,128 GB,128 GB,128 GB,128 GB,32 GB,32 GB,128 GB,128 GB,16 GB,16 GB,16 GB,32 GB,32 GB,64 GB,64 GB,64 GB,32 GB,32 GB,64 GB,64 GB,64 GB,32 GB,16 GB,8 GB,8 GB,2 GB,2 GB,2 GB,2 GB,2 GB,2 GB,8 GB,8 GB,2 GB,8 GB,2 GB,2 GB,8 GB,8 GB,8 GB,2 GB,2 GB,256 GB,256 GB,128 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,128 GB,256 GB,256 GB,256 GB,256 GB,256 GB
Memory Types,DDR 1333,DDR 1333,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4: 1866,DDR4,DDR4,DDR4,DDR4,DDR4-1866,DDR4-2400,DDR4-2400,DDR4-1866,4x32 LPDDR4/x 4267MT/s Max (8GB |  16GB |  @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB Max 32GB With In Band ECC,4x32 LPDDR4/x 4267MT/s Max (8GB |  16GB |  @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB Max 32GB With In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 2400MT/s Max  16GB / 2x64 DDR4 2400MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3733MT/s Max (8GB |  16GB @3200MT/s) / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,DDR4,DDR4,DDR4,DDR4,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In Band ECC,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB LPDDR4/x & DDR4 with In-Band ECC,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s,DDR4,DDR5,DDR5,DDR5,DDR5,DDR4 3200 MT/sDDR5 4800 MT/sLPDDR5 4800 MT/s,DDR4 3200 MT/sDDR5 4800 MT/sLPDDR5 4800 MT/s,DDR5,DDR5,DDR3/DDR3L 1333,DDR3/DDR3L 1333,DDR3/DDR3L 1333,DDR3/DDR3L 1333,DDR3/DDR3L 1333,DDR3/DDR3L 1600,DDR3/DDR3L 1600,DDR3/DDR3L 1600,DDR3/DDR3L 1333,DDR3/DDR3L 1600,DDR3/DDR3L 1600,DDR3/DDR3L 1600,DDR3/DDR3L 1600,DDR3 1333,DDR 1333,LPDDR3 1600,LPDDR3 1600,DDR3L-RS 1600,1x32 LPDDR2/3 1066,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,1x32 LPDDR2/3 1066,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,DDR3L-RS 1600,DDR3L-1600,LPDDR3 1600,DDR3L-RS 1600,LPDDR3 1600,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,DDR3L (ECC and Non ECC) up to 1866 MT/s; LPDDR4 up to 2133 MT/s,DDR3L (ECC and Non ECC) up to 1866 MT/s;LPDDR4 up to 2133 MT/s,DDR3L (ECC and Non ECC) up to 1866MT/s; LPDDR4 up to 2400 MT/s,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,1x32 LPDDR2/3 1066 2x16 DDR3L 1333,DDR4: 2400,DDR4: 2400,DDR4: 1866,DDR4: 2133,DDR4: 1866,DDR4: 2133,DDR4: 2400,DDR4: 2400,DDR4: 2133,DDR4: 1866,DDR4: 2400,DDR4: 2133,DDR4: 2400,DDR4: 2133,DDR4: 2400
Max # of Memory Channels,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,4,4,4,4,4,4,4,4,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,4,4,4,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2
Physical Address Extensions,36-bit,36-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,36-bit,,,,,,,,,,,,,,,40-bit,40-bit,40-bit,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,No,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maximum Memory Speed,,,2933 MHz,2933 MHz,2667 MHz,2400 MHz,2400 MHz,2933 MHz,2933 MHz,2400 MHz,2400 MHz,2933 MHz,2933 MHz,,2933 MHz,2933 MHz,2933 MHz,2933 MHz,,,,,,,,,,,,,2933 MHz,2933 MHz,2933 MHz,2933 MHz,,,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,4800 MHz,2933 MHz,5600 MHz,5600 MHz,5600 MHz,5600 MHz,4800 MHz,4800 MHz,5600 MHz,5600 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Optane™ DC Persistent Memory Supported,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Memory Bandwidth,,,,,,,,,,,,,,,,,,,,,,,68.2 GB/s,68.2 GB/s,51.2 GB/s,51.2 GB/s,38.4 GB/s,51.2 GB/s,59.7 GB/s,51.2 GB/s,,,,,51.2 GB/s,51.2 GB/s,,,,,,,,,,,,,,,,,,,,,10.7 GB/s,,,21.3 GB/s,,25.6 GB/s,,,25.6 GB/s,,25.6 GB/s,,,,25.6 GB/s,25.6 GB/s,12.8 GB/s,4.2 GB/s,4.2 GB/s,4.2 GB/s,4.2 GB/s,12.8 GB/s,,25.6 GB/s,12.8 GB/s,25.6 GB/s,4.2 GB/s,4.2 GB/s,34.1 GB/s,34.1 GB/s,38.4 GB/s,4.2 GB/s,4.2 GB/s,,,,,,,,,,,,,,,

Expansion Options
PCI Express Revision,2,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,3.0,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Max # of PCI Express Lanes,8,8,32,32,32,32,32,16,16,12,12,32,32,10,32,32,32,32,10,20,20,10,8,8,8,8,8,8,8,8,32,32,32,32,8,8,9,9,9,9,9,9,9,9,9,9,16,29,29,29,29,9,9,29,29,8,4,8,16,8,16,16,16,16,8,16,16,16,8,4,2,2,1,,,,,1,4,2,1,2,,,6,6,6,,,16,16,10,12,8,12,16,16,16,6,16,12,12,16,16
Scalability,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,,,,,,,,,,,,,1S Only,1S Only,1S Only,1S Only,,,,,,,,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microprocessor PCIe Revision,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,,,Gen 4,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCI Express Configurations ‡,,,x4 | x8 | x16,x4 | x8 | x16,x4 | x8 | x16,x4 | x8 | x16,x4 | x8 | x16,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2/x4/x8,x4 | x8 | x16,x4 | x8 | x16,X2 |  X4 |  X8,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x4 |  x8 |  x16,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,x4 | x8 | x16,x4 | x8 | x16,x4 | x8 | x16,x4 | x8 | x16,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,,,,,,,,,,,x2 | x4 | x8,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe : For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes) For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for  CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,,,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,Max 13L of PCH PCIe :For PCH PCIe Gen3 (DTR90) x8 | x4 |  x2 |  (x1 only on 4 lanes)For PCH PCIe Gen2(DTR145) x8 | x4 |  x2 |  (x1 only on 4 lanes)Max 16L for CPU PCIe Gen4: x16 |  x8 |  x4,x1 | x2,x1 | x2 | x4,x1 | x2,x1 | x2 | x4 | x8 | x16,x1 | x2 | x4 | x8,x1 | x2 | x4 | x8 | x16,x1 | x2 | x4 | x8 | x16,x1 | x2 | x4 | x8 | x16,x1 | x2 | x4 | x8 | x16,x1 | x2 | x4 | x8,x1 |  x2 |  x4 |  x8 |  x16,x1 | x2 | x4 | x8 | x16,x1 |  x2 |  x4 |  x8 |  x16,,,2x1 |  1x2,2x1 |  1x2,1x1,,,,,1X1,1x4/2x2/1x2 + 2x1/4x1,2x1 |  1x2,1x1,2x1 |  1x2,,,x4 | x2 | x1,x4 | x2 | x1,x4 | x2 | x1,,,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8,x2 | x4 | x8
PCI Support,,,,,,,,,,,,,,,16x PCIe 3.0 |  16x PCIe 2.0,16x PCIe 3.0 |  16x PCIe 2.0,16x PCIe 3.0 |  16x PCIe 2.0,16x PCIe 3.0 |  16x PCIe 2.0,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

I/O Specifications
# of USB Ports,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,8,8,8,8,4,4,,,,,,,,,,,8,8,8,8,8,,,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,,1,1,1,1,,,3,,3,1,1,8,8,8,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
USB Revision,2,2,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,3,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,3,3,3,3,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.0/3.1,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0 |  3.0,2.0/3.0/3.1,2.0/3.0/3.1,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0/3.2,2.0 |  3.0,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,2.0/3.2,2.0/3.2,Gen3.2 1x1 and Gen2.0,Gen3.2 1x1 and Gen2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3.0,3.0,3.0,2.0 OTG,2.0 OTG,2.0 OTG,2.0 OTG,3.0,,3.0,3.0,3.0,2.0 OTG,2.0 OTG,2.0/3.0,2.0/3.0,2.0/3.0,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Total # of SATA Ports,2,2,16,16,16,16,16,16,16,12,12,16,16,10,16,16,16,16,10,,,,2,2,2,2,2,2,2,2,16,16,16,16,2,2,,,,,,,,,,,16,2,2,2,2,,,2,2,6,2,4,6,2,6,6,6,6,2,6,6,6,2,1,,,,,,,,,,,,,,,2,2,2,,,16,16,10,12,8,12,16,16,16,6,16,12,12,16,16
Integrated LAN,2x1 or 2x2.5 GbE,2x1 or 2x2.5 GbE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2x2.5/1 GbE,Yes,Yes,Yes,Yes,4x2.5/1 GbE,4 x 10 GbE,2 x 10 GbE |  2 x 2.5 GbE,4 x 2.5 GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,3x 2.5GbE,Yes,Yes,Yes,Yes,3x 2.5GbE,3x 2.5GbE,,,,,,,,,,,Yes,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,,,Up to 8 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,Up to 20 Ethernet Ports of 100M |  1G |  2.5G |  10G |  25G |  50G,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,2x1 or 2x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,2x1 or 2x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,4x1 or 4x2.5 GbE,,,,,,,,,,,,,,,No,No,No,,,4x10/2.5/1 GbE,4x10/2.5/1 GbE,4x2.5/1 GbE,2x10/2.5/1GbE + 2x2.5/1GbE,4x2.5/1 GbE,2x10/2.5/1 GbE,2x10/2.5/1 GbE,4x10/2.5/1 GbE,4x10/2.5/1 GbE,4x2.5/1 GbE,4x10/2.5/1 GbE,2x10/2.5/1GbE + 2x2.5/1GbE,2x10/2.5/1 GbE,4x10/2.5/1 GbE,2x10/2.5/1 GbE + 2x1 GbE
UART,2 interfaces,2 interfaces,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,Yes,Yes,,,,,,,,,,,3,,,,,,,,,2 Interfaces,2,2 Interfaces,2 Interfaces,2,2 Interfaces,2,2 Interfaces,2 Interfaces,2,2 Interfaces,2,2 Interfaces,2 Interfaces,2 Interfaces,,,,7 x USIF configurable,2 x USIF configurable,7 x USIF configurable,2 x USIF configurable,,,,,,2 x USIF configurable,2 x USIF configurable,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
