Intel® Product Specification Comparison
09/10/2026 12:23:16 PM
 ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ 5 Processor 223PQE ,Intel® Core™ 5 Processor 213PE ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ 9 Processor 273PE ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ 9 Processor 273PTE ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ 5 Processor 223PTE ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ 7 Processor 253PTE ,Intel® Core™ 9 Processor 273PQE ,Intel® Core™ 7 Processor 253PE ,Intel® Core™ 5 Processor 213PTE ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ 5 Processor 223PE ,Intel® Core™ 7 Processor 253PQE ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ 7 processor 360 ,Intel® Core™ 5 processor 330 ,Intel® Core™ 7 processor 350 ,Intel® Core™ 5 processor 320 ,Intel® Core™ 3 processor 305 ,Intel® Core™ 3 processor 304 ,Intel® Core™ 5 processor 315 ,Intel® Core™ Ultra X9 processor 378H
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,5.4 GHz,,5.6 GHz,,,,,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,,5.5 GHz,,4.8 GHz,5.5 GHz,,4.4 GHz,5.6 GHz,4.4 GHz,5.5 GHz,4.5 GHz,,4.7 GHz,5.4 GHz,5.7 GHz,5.5 GHz,,4.6 GHz,,5.7 GHz,,,,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,,,4.4 GHz,5 GHz,,,,,,,,,,5.4 GHz,,5.6 GHz,,,,,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,,5.5 GHz,,4.8 GHz,5.5 GHz,,4.4 GHz,5.6 GHz,4.4 GHz,5.5 GHz,4.5 GHz,,4.7 GHz,5.4 GHz,5.7 GHz,5.5 GHz,,4.6 GHz,,5.7 GHz,,,,4.8 GHz,4.6 GHz,4.8 GHz,4.6 GHz,,,4.4 GHz,5 GHz
Low Power Efficient-core Max Turbo Frequency,,,,,,,,,,,,,,,,2.4 GHz,3.6 GHz,3.7 GHz,3.3 GHz,3.5 GHz,3.4 GHz,3.3 GHz,3.3 GHz,3.2 GHz,,,,3.6 GHz,,,3.3 GHz,,3.3 GHz,,3.4 GHz,,3.5 GHz,,,,,3.4 GHz,,,,,,3.6 GHz,3.4 GHz,3.6 GHz,3.4 GHz,3.3 GHz,3.3 GHz,3.3 GHz,3.6 GHz,,,,,,,,,,,,,,,,2.4 GHz,3.6 GHz,3.7 GHz,3.3 GHz,3.5 GHz,3.4 GHz,3.3 GHz,3.3 GHz,3.2 GHz,,,,3.6 GHz,,,3.3 GHz,,3.3 GHz,,3.4 GHz,,3.5 GHz,,,,,3.4 GHz,,,,,,3.6 GHz,3.4 GHz,3.6 GHz,3.4 GHz,3.3 GHz,3.3 GHz,3.3 GHz,3.6 GHz
Low Power Efficient-core Base Frequency,,,,,,,,,,,,,,,,700 MHz,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,,,,1.8 GHz,,,1.9 GHz,,1.9 GHz,,1.6 GHz,,1.7 GHz,,,,,1.6 GHz,,,,,,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.6 GHz,,,,,,,,,,,,,,,,700 MHz,1.6 GHz,1.6 GHz,1.5 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.5 GHz,1.5 GHz,,,,1.8 GHz,,,1.9 GHz,,1.9 GHz,,1.6 GHz,,1.7 GHz,,,,,1.6 GHz,,,,,,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.4 GHz,1.6 GHz

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q3'25,Q3'25,Q3'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q1'26,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q3'25,Q3'25,Q3'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q2'26,Q1'26
Embedded Options Available,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Use Conditions,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,,,,,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,,,,,,
Product Tuning (Embedded Uses),,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes - Embedded,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes - Embedded,Yes - Embedded & Industrial,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes - Embedded,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes - Embedded,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes - Embedded,Yes - Embedded & Industrial,Yes - Embedded & Industrial,Yes,Yes - Embedded & Industrial,Yes - Embedded,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Description,,,,,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors
Extended Temperature Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,,No,,No,,No,No,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,,No,,No,,No,No,No,No,,No,No,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),256 GB,256 GB,256 GB,256 GB,256 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,256 GB,256 GB,128 GB,96 GB,96 GB,96 GB,128 GB,128 GB,96 GB,128 GB,128 GB,256 GB,256 GB,256 GB,128 GB,192 GB,192 GB,128 GB,192 GB,128 GB,192 GB,128 GB,192 GB,128 GB,192 GB,192 GB,192 GB,192 GB,128 GB,192 GB,192 GB,256 GB,256 GB,256 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,96 GB,256 GB,256 GB,256 GB,256 GB,256 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,256 GB,256 GB,128 GB,96 GB,96 GB,96 GB,128 GB,128 GB,96 GB,128 GB,128 GB,256 GB,256 GB,256 GB,128 GB,192 GB,192 GB,128 GB,192 GB,128 GB,192 GB,128 GB,192 GB,128 GB,192 GB,192 GB,192 GB,192 GB,128 GB,192 GB,192 GB,256 GB,256 GB,256 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,96 GB
Memory Types,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X  9600MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X  8533 MT/s,Up to LPDDR5X 8533 MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s Up to DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 4800 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 4800 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X  9600MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X  8533 MT/s,Up to LPDDR5X 8533 MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s Up to DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 4800 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 4800 MT/s DDR4 up to 3200 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,DDR5 up to 5600 MT/s DDR4 up to 3200 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2
ECC Memory Supported   ‡,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,No,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,No,,,,,,,,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,No,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,No,,,,,,,,

GPU Specifications
GPU Name‡,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Graphics,Intel® Graphics,Intel® Arc™ B370 GPU,Intel® Graphics,Intel® Graphics,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ B390 GPU,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Graphics,Intel® Graphics,Intel® Arc™ B370 GPU,Intel® Graphics,Intel® Graphics,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® Graphics,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ B390 GPU
Graphics Base Frequency,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,,,,,,,,,300 MHz,300 MHz,,300 MHz,300 MHz,,300 MHz,,300 MHz,,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,,,,,,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,,,,,,,,,300 MHz,300 MHz,,300 MHz,300 MHz,,300 MHz,,300 MHz,,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,,,,,,
