Intel® Product Specification Comparison
08/27/2026 11:07:26 AM
 ,Intel® Core™ Ultra 7 Processor 155H ,Intel® Core™ Ultra 5 Processor 125H ,Intel® Core™ Ultra 9 Processor 185H ,Intel® Core™ Ultra 5 Processor 135H ,Intel® Core™ Ultra 7 Processor 165H ,Intel® Core™ Ultra 7 Processor 155U ,Intel® Core™ Ultra 5 Processor 135U ,Intel® Core™ Ultra 7 Processor 165U ,Intel® Core™ Ultra 5 Processor 125U ,Intel® Core™ Ultra 5 Processor 134U ,Intel® Core™ Ultra 7 Processor 164U ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ Ultra X9 processor 378H
Minimum Assured Power,20 W,20 W,35 W,20 W,20 W,12 W,12 W,12 W,12 W,9 W,9 W,12 W,20 W,12 W,20 W,12 W,20 W,12 W,20 W,12 W,8 W,8 W,8 W,8 W,8 W,8 W,8 W,8 W,17 W,,,,,,,,,,,,,,35 W,20 W,20 W,20 W,20 W,12 W,12 W,12 W,12 W,,,,,45 W,45 W,45 W,45 W,45 W,45 W,,,12 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,15 W,,,,12 W,12 W,12 W,12 W,12 W,12 W,45 W,45 W,45 W,15 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by CPU,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT |  DirectML |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT |  DirectML |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT |  DirectML |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN | ,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN
CPU Lithography,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,Intel 4,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,Intel 3,Intel 3,Intel 3,Intel 3,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,TSMC N3B,Intel 3,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,Intel 18A,TSMC N3B,TSMC N3B,TSMC N3B,Intel 18A
Maximum Assured Power,,,,,,,,,,,,28 W,65 W,28 W,65 W,28 W,65 W,28 W,65 W,28 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Datatype Support on CPU,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,,,,,,,,,4.8 GHz,,5 GHz,4.8 GHz,5 GHz,,,5.1 GHz,5.4 GHz,5.6 GHz,5.5 GHz,5.5 GHz,5.5 GHz,5.3 GHz,5.3 GHz,,,5.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,5 GHz,5.1 GHz,4.8 GHz,4.9 GHz,4.8 GHz,4.7 GHz,4.7 GHz,4.6 GHz,,5.5 GHz,,4.8 GHz,4.4 GHz,4.4 GHz,4.5 GHz,4.7 GHz,4.6 GHz,,,,5 GHz
Total L2 Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 MB,40 MB,40 MB,36 MB,36 MB,36 MB,36 MB,26 MB,26 MB,36 MB,22 MB,22 MB,26 MB,,,,,,,,,,22 MB,26 MB,26 MB,26 MB,36 MB,40 MB,36 MB,26 MB,26 MB,40 MB,26 MB,26 MB,,,,,,,,,,30 MB,40 MB,30 MB,,,,,,,30 MB,40 MB,36 MB,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7 GHz,5.6 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q1'25,Q4'24,Q1'25,Q4'24,Q4'24,Q1'25,Q1'25,Q4'24,Q4'24,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q1'25,Q3'25,Q3'25,Q3'25,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26,Q1'26
Embedded Options Available,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Use Conditions,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,,,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,
Product Tuning (Embedded Uses),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes
Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors,,,,Intel® Core™ Ultra Series 3 processors are suitable for use in select desktop form factors

Memory Specifications
Max Memory Size (dependent on memory type),96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,64 GB,64 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,96 GB,32 GB,16 GB,32 GB,16 GB,32 GB,32 GB,16 GB,16 GB,32 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,128 GB,96 GB,96 GB,96 GB,128 GB,128 GB,96 GB,128 GB,128 GB,256 GB,256 GB,256 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,256 GB,256 GB,256 GB,96 GB
Memory Types,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 7467 MT/sUp to DDR5 5600 MT/s,Up to LPDDR5/X 6400 MT/s,Up to LPDDR5/X 6400 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to DDR5 5600 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to LPDDR5X 8533 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5/X 8400 MT/sUp to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X 9600 MT/s,Up to LPDDR5X  9600MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X  8533 MT/s,Up to LPDDR5X 8533 MT/s
Up to DDR5 7200 MT/s,Up to LPDDR5X 8533 MT/s Up to DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up To DDR5 7200 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s
Up to DDR5 6400 MT/s,Up to LPDDR5X 7467 MT/s Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to DDR5 6400 MT/s,Up to LPDDR5X 9600 MT/s
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ECC Memory Supported   ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,No,Yes,Yes,,,,,,,No,No,No,

GPU Specifications
GPU Name‡,Intel® Arc™ graphics,Intel® Arc™ graphics,Intel® Arc™ graphics,Intel® Arc™ graphics,Intel® Arc™ graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ graphics,Intel® Graphics,Intel® Arc™ graphics,Intel® Graphics,Intel® Arc™ graphics,Intel® Graphics,Intel® Arc™ graphics,Intel® Graphics,Intel® Arc™ 130V GPU,Intel® Arc™ 140V GPU,Intel® Arc™ 130V GPU,Intel® Arc™ 140V GPU,Intel® Arc™ 140V GPU,Intel® Arc™ 140V GPU,Intel® Arc™ 130V GPU,Intel® Arc™ 130V GPU,Intel® Arc™ 140V GPU,Intel® Graphics,Intel® Graphics,Intel® Graphics,,Intel® Graphics,,Intel® Graphics,,Intel® Graphics,Intel® Graphics,,Intel® Graphics,Intel® Graphics,Intel® Arc™ 140T GPU,Intel® Arc™ 140T GPU,Intel® Arc™ 130T GPU,Intel® Arc™ 140T GPU,Intel® Arc™ 140T GPU,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Arc™ B390 GPU,Intel® Graphics,Intel® Graphics,Intel® Arc™ B370 GPU,Intel® Graphics,Intel® Graphics,,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Graphics,Intel® Arc™ B390 GPU
