shard,model,field,why_missing,what_i_tried
amd-gpu-b,PRO WX 2100 (Mobile),l3_cache,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-gpu-b,PRO WX 2100 (Mobile),launch_price_usd,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-gpu-b,PRO WX 2100 (Mobile),part_number,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-gpu-b,PRO WX 3200 (Mobile),base_clock,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-gpu-b,PRO WX 3200 (Mobile),l3_cache,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-gpu-b,PRO WX 3200 (Mobile),launch_price_usd,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-gpu-b,PRO WX 3200 (Mobile),part_number,not published / not found in available sources,"searched vendor page, TechPowerUp/CpuTronic/Notebookcheck aggregators"
amd-ryzen-dt,Ryzen 9 PRO 9945,launch_price_usd,"OEM/commercial channel part, no public retail MSRP found",Searched AMD.com + press coverage; PRO desktop chips sold via OEM only
amd-ryzen-dt,Ryzen 9 PRO 9945,part_number,Not located on public AMD pages reviewed,WebSearch + AMD product page summary
amd-ryzen-dt,Ryzen 7 9700F,launch_price_usd,"Budget SKU, no MSRP found in coverage reviewed",WebSearch of wccftech/notebookcheck leak coverage
amd-ryzen-dt,Ryzen 7 9700F,base_clock,"Only leak/leaked-spec coverage found, not an official ARK page fetch","WebSearch; assumed to mirror 9700X, flagged low confidence"
amd-ryzen-dt,Ryzen 7 9700F,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 9850X3D,base_clock,Reviews report boost only relative to 9800X3D; base clock not stated in sources reviewed,WebSearch Tom's Hardware/thepcenthusiast review
amd-ryzen-dt,Ryzen 7 9850X3D,launch_price_usd,"OEM/DIY channel SKU, no MSRP published",WebSearch
amd-ryzen-dt,Ryzen 7 9850X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 9745,launch_price_usd,"OEM/commercial channel part, no public MSRP",WebSearch AMD.com + guru3d
amd-ryzen-dt,Ryzen 7 PRO 9745,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 9500F,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 9600,launch_price_usd,"Quiet/non-X launch, no MSRP found in coverage reviewed",WebSearch Tom's Hardware/videocardz
amd-ryzen-dt,Ryzen 5 9600,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 9645,launch_price_usd,"OEM/commercial channel part, no public MSRP",WebSearch guru3d/notebookcheck
amd-ryzen-dt,Ryzen 5 PRO 9645,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 PRO 7945,base_clock,Sources reviewed listed boost clock only,WebSearch servethehome/videocardz/exhibit.tech
amd-ryzen-dt,Ryzen 9 PRO 7945,launch_price_usd,"OEM/commercial channel, no public MSRP",WebSearch
amd-ryzen-dt,Ryzen 9 PRO 7945,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 7745,base_clock,Sources reviewed listed boost clock only,WebSearch cpu-monkey/technical.city
amd-ryzen-dt,Ryzen 7 PRO 7745,launch_price_usd,"OEM/commercial channel, no public MSRP",WebSearch
amd-ryzen-dt,Ryzen 7 PRO 7745,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 7400,launch_price_usd,"Regional/OEM SKU, no widely published US MSRP found",WebSearch
amd-ryzen-dt,Ryzen 5 7400,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 7400F,launch_price_usd,"China/APJ initial launch, no global MSRP found in coverage reviewed",WebSearch Tom's Hardware
amd-ryzen-dt,Ryzen 5 7400F,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 7500F,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 7500X3D,base_clock,Not stated in comparison sources reviewed (only 'around 4.6GHz' boost figure found),WebSearch cpu-monkey
amd-ryzen-dt,Ryzen 5 7500X3D,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen 5 7500X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 7600,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 7600X3D,launch_price_usd,"Micro Center-exclusive OEM SKU, no AMD-published MSRP; price is a retail estimate flagged low-confidence",WebSearch technical.city/pangoly
amd-ryzen-dt,Ryzen 5 7600X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 7445,base_clock,Not stated in sources reviewed,WebSearch exhibit.tech
amd-ryzen-dt,Ryzen 5 PRO 7445,launch_price_usd,"OEM channel, no public MSRP",WebSearch
amd-ryzen-dt,Ryzen 5 PRO 7445,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 7645,base_clock,Not stated in sources reviewed,WebSearch exhibit.tech/servethehome
amd-ryzen-dt,Ryzen 5 PRO 7645,launch_price_usd,"OEM channel, no public MSRP",WebSearch
amd-ryzen-dt,Ryzen 5 PRO 7645,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 7900,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 7700,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 7995WX,launch_price_usd,Cited only as context in later 9995WX launch coverage (17% cheaper); not independently re-verified,WebSearch tomshardware/notebookcheck
amd-ryzen-dt,Ryzen TR PRO 7995WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 7985WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 7975WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 7965WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 7955WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 7945WX,l3_cache,Assumed to match 7955WX's 64MB 2-CCD pattern; not independently confirmed for this specific SKU,WebSearch made-in-china listing + wccftech
amd-ryzen-dt,Ryzen TR PRO 7945WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 7980X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 7970X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 7960X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9985WX,base_clock,No corroborated official figure found; one uncorroborated estimate (~4.2GHz) discarded,WebSearch videocardz/topcpu.net
amd-ryzen-dt,Ryzen TR PRO 9985WX,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9985WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9975WX,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9975WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9965WX,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9965WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9955WX,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9955WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9945WX,base_clock,Not stated in AMD product page summary or secondary coverage reviewed,WebSearch amd.com product page summary
amd-ryzen-dt,Ryzen TR PRO 9945WX,l3_cache,Assumed to match 9955WX's 64MB pattern; not independently confirmed,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9945WX,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen TR PRO 9945WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 9980X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 9970X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 9960X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 5900XT,launch_price_usd,No MSRP found in sources reviewed (limited/OEM-adjacent launch),WebSearch + AMD product page fetch
amd-ryzen-dt,Ryzen 9 5900XT,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 5950X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 5900 (OEM Only),launch_price_usd,"OEM-only SKU, not sold at retail",WebSearch wccftech
amd-ryzen-dt,Ryzen 9 5900 (OEM Only),part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 5900X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 PRO 5945,launch_price_usd,"OEM/commercial channel, no public MSRP",WebSearch videocardz/techradar
amd-ryzen-dt,Ryzen 9 PRO 5945,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5700,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5700X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5700X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5800 (OEM Only),launch_price_usd,"OEM-only SKU, not sold at retail",WebSearch techreviewer/cpu-monkey
amd-ryzen-dt,Ryzen 7 5800 (OEM Only),part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5800X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5800X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 5800XT,launch_price_usd,No MSRP found in listings reviewed,WebSearch B&H/BestBuy/microcenter
amd-ryzen-dt,Ryzen 7 5800XT,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 5845,launch_price_usd,"OEM/commercial channel, no public MSRP",WebSearch pchardware
amd-ryzen-dt,Ryzen 7 PRO 5845,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5500,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5500X3D,launch_price_usd,AMD did not formally announce pricing; GamersNexus/Tom's Hardware report a range ($150-$250) rather than a confirmed MSRP,WebSearch GamersNexus/Tom's Hardware/wccftech
amd-ryzen-dt,Ryzen 5 5500X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5600,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5600F,launch_price_usd,"APJ-region exclusive launch, no global MSRP found",WebSearch wccftech/videocardz
amd-ryzen-dt,Ryzen 5 5600F,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5600T,launch_price_usd,Not found in sources reviewed,WebSearch
amd-ryzen-dt,Ryzen 5 5600T,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5600X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5600X3D,launch_price_usd,"Micro Center-exclusive SKU, no AMD-published MSRP found",WebSearch topcpu.net/userbenchmark
amd-ryzen-dt,Ryzen 5 5600X3D,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 5600XT,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 5645,launch_price_usd,"OEM/commercial channel, no public MSRP",WebSearch cpu-world
amd-ryzen-dt,Ryzen 5 PRO 5645,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 5995WX,launch_price_usd,"Cited launch price (~$6,499) found only in secondary leak/launch coverage, not independently re-verified on amd.com",WebSearch wccftech/tomshardware
amd-ryzen-dt,Ryzen TR PRO 5995WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 5975WX,launch_price_usd,"Cited launch price (~$3,299) found only in secondary coverage",WebSearch wccftech
amd-ryzen-dt,Ryzen TR PRO 5975WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 5965WX,launch_price_usd,"Cited launch price (~$2,399) found only in secondary coverage",WebSearch wccftech
amd-ryzen-dt,Ryzen TR PRO 5965WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 5955WX,launch_price_usd,"OEM-only SKU, not sold at retail",WebSearch wccftech
amd-ryzen-dt,Ryzen TR PRO 5955WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 5945WX,l3_cache,Assumed to match 5955WX's 64MB tier; not independently confirmed for this specific SKU,WebSearch topcpu.net/wccftech
amd-ryzen-dt,Ryzen TR PRO 5945WX,launch_price_usd,"OEM-only SKU, not sold at retail",WebSearch wccftech
amd-ryzen-dt,Ryzen TR PRO 5945WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 3900 (OEM Only),launch_price_usd,"OEM-only channel part, no public retail MSRP",WebSearch + AMD driver release notes
amd-ryzen-dt,Ryzen 9 3900 (OEM Only),part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 9 PRO 3900,launch_price_usd,"Commercial/OEM channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 9 PRO 3900,part_number,Not located on AMD PRO product page,WebSearch
amd-ryzen-dt,Ryzen 9 PRO 3900,launch_date,"Only year confirmed (2020), exact month/day not found",WebSearch
amd-ryzen-dt,Ryzen 7 PRO 3700,launch_price_usd,"Commercial/OEM channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 7 PRO 3700,part_number,Not located on AMD PRO product page,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 3700,launch_date,"Only year confirmed (2020), exact month/day not found",WebSearch
amd-ryzen-dt,Ryzen 5 PRO 3600,launch_price_usd,"Commercial/OEM channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 5 PRO 3600,part_number,Not located on AMD PRO product page,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 3600,launch_date,"Only year confirmed (2020), exact month/day not found",WebSearch
amd-ryzen-dt,Ryzen 5 3500 (OEM Only),launch_price_usd,"OEM-only channel part, no public retail MSRP",WebSearch
amd-ryzen-dt,Ryzen 5 3500 (OEM Only),launch_date,"Only year confirmed (2020), exact month/day not found",WebSearch
amd-ryzen-dt,Ryzen TR 3990X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 3970X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 3960X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 3995WX,launch_price_usd,"Workstation OEM-channel part, no public retail MSRP found",WebSearch
amd-ryzen-dt,Ryzen TR PRO 3995WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 3995WX,launch_date,"Exact day sourced from Tom's Hardware review date, not an AMD press release; medium confidence",WebSearch
amd-ryzen-dt,Ryzen TR PRO 3975WX,launch_price_usd,"Workstation OEM-channel part, no public retail MSRP found",WebSearch
amd-ryzen-dt,Ryzen TR PRO 3975WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 3955WX,launch_price_usd,"Workstation OEM-channel part, no public retail MSRP found",WebSearch
amd-ryzen-dt,Ryzen TR PRO 3955WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR PRO 3945WX,launch_price_usd,"Workstation OEM-channel part, no public retail MSRP found",WebSearch
amd-ryzen-dt,Ryzen TR PRO 3945WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 2700E Processor,launch_price_usd,"OEM-only, low-power variant, not sold at retail",WebSearch
amd-ryzen-dt,Ryzen 7 2700E Processor,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 2700E Processor,launch_date,Only month/year approximated from press coverage (Oct 2018),WebSearch
amd-ryzen-dt,Ryzen 7 PRO 2700X,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 7 PRO 2700X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 2700X,launch_date,"Only year confirmed (2018), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 7 PRO 2700,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 7 PRO 2700,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 2700,launch_date,"Only year confirmed (2018), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 5 2600E,launch_price_usd,"OEM/embedded-only variant, no retail price disclosed by AMD",WebSearch
amd-ryzen-dt,Ryzen 5 2600E,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 2600E,launch_date,Only month/year approximated from press coverage (Oct 2018),WebSearch
amd-ryzen-dt,Ryzen 5 PRO 2600,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 5 PRO 2600,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 2600,launch_date,"Only year confirmed (2018), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 5 2500X,launch_price_usd,"OEM-only, bundled in prebuilt systems, no standalone price disclosed",WebSearch wccftech
amd-ryzen-dt,Ryzen 5 2500X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 2500X,launch_date,Only month/year approximated (Oct 2018),WebSearch
amd-ryzen-dt,Ryzen 3 2300X,launch_price_usd,"OEM-only, no standalone price disclosed",WebSearch wccftech
amd-ryzen-dt,Ryzen 3 2300X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 3 2300X,launch_date,Only month/year approximated (Oct 2018),WebSearch
amd-ryzen-dt,Ryzen TR 2990WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 2970WX,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 2950X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 2920X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 1700X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 1700 Processor,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 1700X Processor,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 7 PRO 1700X Processor,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 1700X Processor,launch_date,"Only year confirmed (2017), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 7 PRO 1700,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 7 PRO 1700,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 7 PRO 1700,launch_date,"Only year confirmed (2017), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 5 1600,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 1600 (AF),part_number,Not located; AMD did not issue a distinct retail box part number beyond original 1600 boxing,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 1600,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 5 PRO 1600,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 1600,launch_date,"Only year confirmed (2017), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 5 1500X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 1500,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 5 PRO 1500,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 5 PRO 1500,launch_date,"Only year confirmed (2017), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 5 1400,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 3 1300X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 3 PRO 1300,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 3 PRO 1300,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 3 PRO 1300,launch_date,"Only year confirmed (2017), exact date not found",WebSearch
amd-ryzen-dt,Ryzen 3 PRO 1300,base_clock,Assumed to mirror Ryzen 3 1300X (no dedicated PRO 1300 spec page with clocks found); not independently confirmed,WebSearch
amd-ryzen-dt,Ryzen 3 1200,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 3 PRO 1200,launch_price_usd,"Commercial-channel PRO SKU, no public MSRP found",WebSearch + AMD PRO product page
amd-ryzen-dt,Ryzen 3 PRO 1200,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen 3 PRO 1200,launch_date,"Only year confirmed (2017), exact date not found",WebSearch
amd-ryzen-dt,Ryzen TR 1920X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 1900X,part_number,Not located,WebSearch
amd-ryzen-dt,Ryzen TR 1900X,l3_cache,Value (16MB) inferred by analogy to single-die Ryzen 7 1800X configuration rather than confirmed on an AMD spec page this session,WebSearch
amd-ryzen-mob-a,Ryzen AI 5 330,igpu_clock,no tier1 or tier3 source published exact clock for Radeon 820M,searched TechPowerUp/Toms Hardware/laptopmedia summaries; only CU count (2) confirmed
amd-ryzen-mob-a,Ryzen AI 9 465,l3_cache,not stated in aggregator summaries found,WebSearch family queries; only 10MB L2 confirmed
amd-ryzen-mob-a,Ryzen AI 9 465,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 9 PRO 465,l3_cache,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 9 PRO 465,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 450,l3_cache,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 450,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 450,npu_tops,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 PRO 450,l3_cache,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 PRO 450,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 PRO 450,npu_tops,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 435,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 435,npu_tops,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 PRO 435,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 PRO 435,npu_tops,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 PRO 440,npu_tops,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 445,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 7 445,npu_tops,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 430,igpu_clock,not stated in aggregator summaries found,WebSearch family queries
amd-ryzen-mob-a,Ryzen AI 5 430,npu_tops,not stated -- AI5 430 appears to lack Ryzen AI branding NPU rating in sources; possibly no functioning NPU exposed,WebSearch family queries; compared to Kraken Point AI4 330 equivalent
amd-ryzen-mob-a,Ryzen 7 7445HS,base_clock/boost_clock/igpu_clock,AMD product page surfaced only media-codec specs in search results,WebSearch amd.com direct + Notebookcheck aggregator; not found
amd-ryzen-mob-a,Ryzen 5 8505G,base_clock/boost_clock precision,"OEM-exclusive SKU, clocks estimated from family pattern not confirmed tier1",WebSearch multiple queries; AMD page snippet incomplete
amd-ryzen-mob-a,Ryzen 5 8505GE,base_clock/boost_clock precision,"OEM-exclusive SKU, clocks estimated from family pattern not confirmed tier1",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 5 PRO 8505G,base_clock/boost_clock precision,"estimated from family pattern, not tier1-confirmed",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 5 PRO 8505GE,base_clock/boost_clock precision,"estimated from family pattern, not tier1-confirmed",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 5 PRO 8600GE,base_clock/boost_clock precision,"estimated via derate pattern from 8700GE, not tier1-confirmed",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 5 PRO 8605GE,base_clock/boost_clock precision,"estimated via derate pattern from 8700GE, not tier1-confirmed",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 3 8305G,base_clock/boost_clock/igpu_clock,"OEM-exclusive SKU, no consistent published clocks found","WebSearch multiple queries, AMD page snippet incomplete"
amd-ryzen-mob-a,Ryzen 3 8305GE,base_clock/boost_clock/igpu_clock,"OEM-exclusive SKU, no consistent published clocks found",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 3 PRO 8305G,base_clock/boost_clock/igpu_clock,"OEM-exclusive SKU, no consistent published clocks found",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 3 PRO 8305GE,base_clock/boost_clock/igpu_clock,"OEM-exclusive SKU, no consistent published clocks found",WebSearch multiple queries
amd-ryzen-mob-a,Ryzen 5 230,tdp,No independent tier1/tier3 source confirms exact TDP for this SKU,"Checked technical.city, cpu-monkey; only base/boost clocks found, TDP not listed distinctly from siblings"
amd-ryzen-mob-a,Ryzen 5 PRO 220,base_clock/boost_clock,No dedicated tier1/tier3 spec page found; inferred from non-PRO Ryzen 5 220 pattern,"Searched cpu-monkey, notebookcheck; only comparison pages surfaced, not a standalone spec sheet"
amd-ryzen-mob-a,Ryzen 5 240,npu_tops,"Single aggregator (cpurankings) cites 16 TOPS, contradicting general Ryzen-200-series no-NPU rule",Could not corroborate on amd.com or a second independent source; flagged for re-verification
amd-ryzen-mob-a,Ryzen 3 PRO 210,base_clock/boost_clock,No dedicated tier1/tier3 spec page found; inferred from non-PRO Ryzen 3 210 pattern,"Searched technical.city, nanoreview; only comparison pages found"
amd-ryzen-mob-a,Ryzen 7 PRO 250,base_clock/boost_clock,"Notebookcheck listing did not give precise clock figures, only 'up to' boost range","Checked cputronic, allcpus; clock precision not confirmed, left blank rather than assume"
amd-ryzen-mob-a,Ryzen 9 PRO 6950H,base_clock/boost_clock,No dedicated notebookcheck/tier1 spec page found for exact clocks,"Checked technical.city; only comparison-style listing, inferred from Ryzen 9 6900HX pattern"
amd-ryzen-mob-a,Ryzen 9 PRO 6950HS,base_clock/boost_clock,No dedicated notebookcheck/tier1 spec page found for exact clocks,Checked technical.city; inferred from Ryzen 9 6900HS pattern
amd-ryzen-mob-a,Ryzen 5 PRO 6650H,base_clock/boost_clock,No dedicated spec page found for exact clocks,Checked technical.city; inferred from Ryzen 5 6600H pattern
amd-ryzen-mob-a,Ryzen 5 PRO 6650HS,base_clock/boost_clock,No dedicated spec page found for exact clocks,Checked technical.city; inferred from Ryzen 5 6600HS pattern
amd-ryzen-mob-a,Ryzen 7 7736U,tdp,AMD spec page lists cTDP 15-28W but no distinct 'Default TDP' figure,Read full amd.com spec page; default TDP field absent for this OEM-exclusive SKU
amd-ryzen-mob-a,Ryzen 5 PRO 7535U,tdp,AMD-adjacent secondary source lists cTDP 15-30W but no distinct default TDP for PRO variant,Checked cputronic; default TDP not listed separately from cTDP range
amd-ryzen-mob-a,Ryzen 3 7335U,igpu_clock,iGPU model confirmed via secondary source but clock speed not found on a tier1/tier3 page,Checked amd.com page (no graphics section returned in fetch) and secondary aggregators
amd-ryzen-mob-a,Ryzen 3 PRO 5450U,base_clock/boost_clock/l2_cache/l3_cache,No dedicated tier1/tier3 spec page found; inferred from non-PRO Ryzen 3 5400U pattern,"Checked technical.city; only comparison-style page found, not standalone spec sheet"
